City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,woolgoolga,-30.1106,153.2007,85.95,71,0,19.35,AU,1732586841
1,copala,16.65,-98.9833,77.02,84,10,3.0,MX,1732586937
2,petropavlovsk-kamchatsky,53.0452,158.6483,36.19,48,75,11.18,RU,1732586938
3,dryden,49.7833,-92.7503,21.49,86,100,11.5,CA,1732586939
4,n'zeto,-7.2312,12.8666,78.08,85,100,7.11,AO,1732586941
5,puerto natales,-51.7236,-72.4875,46.45,84,6,1.32,CL,1732586942
6,papatowai,-46.5619,169.4708,63.07,49,64,15.26,NZ,1732586695
7,saipan,15.1355,145.701,84.9,86,75,17.27,MP,1732586944
8,ixtapa,20.7,-105.2,76.23,83,0,0.0,MX,1732586945
9,port-aux-francais,-49.35,70.2167,36.77,85,36,35.19,TF,1732586946
10,taizhou,32.4933,119.9106,44.64,39,15,16.71,CN,1732586948
11,kill devil hills,36.0307,-75.676,55.98,84,0,4.61,US,1732586949
12,bethel,41.3712,-73.414,41.45,71,99,2.26,US,1732586734
13,punta arenas,-53.15,-70.9167,50.11,66,20,9.22,CL,1732586719
14,neiafu,-18.65,-173.9833,81.28,83,75,10.36,TO,1732586953
15,grytviken,-54.2811,-36.5092,33.64,75,100,5.32,GS,1732586713
16,tsiombe,-25.3,45.4833,75.45,93,53,9.35,MG,1732586956
17,middlesboro,36.6084,-83.7166,55.4,94,100,0.0,US,1732586957
18,yanykurgan,43.915,67.2481,40.86,34,40,2.33,KZ,1732586958
19,stanley,54.868,-1.6985,39.51,85,20,12.66,GB,1732586959
20,west island,-12.1568,96.8225,80.58,94,100,19.57,CC,1732586960
21,blackmans bay,-43.0167,147.3167,71.53,71,70,3.0,AU,1732586961
22,namibe,-15.1961,12.1522,67.93,79,63,4.99,AO,1732586783
23,ribeira grande,38.5167,-28.7,67.77,93,16,10.0,PT,1732586862
24,utrik,11.2278,169.8474,82.92,80,17,19.77,MH,1732586965
25,kodiak,57.79,-152.4072,29.71,80,0,3.44,US,1732586967
26,labrador city,52.9463,-66.9114,29.17,96,100,21.99,CA,1732586968
27,isafjordur,66.0755,-23.124,29.66,86,34,11.99,IS,1732586969
28,aasiaat,68.7098,-52.8699,23.67,68,100,16.53,GL,1732586971
29,amahai,-3.3333,128.9167,85.1,69,100,3.98,ID,1732586972
30,albany,42.6001,-73.9662,34.79,79,100,1.68,US,1732586973
31,garachico,28.7781,-17.7646,66.31,78,75,5.75,ES,1732586974
32,beyla,8.6833,-8.6333,67.19,43,92,0.92,GN,1732586975
33,hermanus,-34.4187,19.2345,61.81,71,50,21.9,ZA,1732586976
34,atafu village,-8.5421,-172.5159,83.86,74,7,16.58,TK,1732586977
35,adamstown,-25.066,-130.1015,72.64,77,24,18.39,PN,1732586980
36,richfield,44.8833,-93.283,22.57,71,0,16.11,US,1732586981
37,novodvinsk,64.4165,40.8122,37.15,92,100,12.77,RU,1732586884
38,arquitecto tomas romero pereira,-26.4833,-55.25,76.59,43,100,4.27,PY,1732586983
39,invercargill,-46.4,168.35,61.02,70,35,18.99,NZ,1732586984
40,mawlaik,23.6333,94.4167,64.67,82,100,1.9,MM,1732586985
41,iqaluit,63.7506,-68.5145,0.55,99,71,13.0,CA,1732586963
42,santiago de chuco,-8.15,-78.1833,52.81,86,100,1.66,PE,1732586987
43,pauini,-7.7136,-66.9764,75.36,89,99,2.37,BR,1732586988
44,fale old settlement,-9.3852,-171.2468,83.77,74,9,16.71,TK,1732586990
45,gunjur,13.2019,-16.7339,78.89,74,0,9.91,GM,1732586991
46,arraial do cabo,-22.9661,-42.0278,72.27,75,55,20.07,BR,1732586981
47,jiazi,22.8779,116.067,69.06,57,1,14.81,CN,1732586993
48,hamilton,39.1834,-84.5333,60.24,95,100,15.01,US,1732586994
49,nuuk,64.1835,-51.7216,29.01,93,100,17.27,GL,1732586996
50,childress,34.4264,-100.204,44.85,61,0,5.75,US,1732586997
51,kokoda,-8.8785,147.7407,86.58,69,98,5.73,PG,1732586998
52,nar'yan-mar,67.6713,53.087,34.03,89,100,30.04,RU,1732586999
53,jamestown,42.097,-79.2353,49.01,83,100,6.91,US,1732586778
54,port elizabeth,-33.918,25.5701,64.31,92,94,3.0,ZA,1732587001
55,new norfolk,-42.7826,147.0587,72.72,33,9,5.35,AU,1732587002
56,tiksi,71.6872,128.8694,-0.96,77,100,24.67,RU,1732586939
57,yellowknife,62.456,-114.3525,21.42,96,100,18.99,CA,1732587004
58,rongelap,11.1635,166.8941,83.03,80,30,19.55,MH,1732587006
59,sondrio,46.169,9.8692,47.88,99,100,1.74,IT,1732587007
60,crane,31.3974,-102.3501,50.79,44,93,12.68,US,1732587008
61,tarko-sale,64.9225,77.785,16.75,94,99,17.25,RU,1732587009
62,bozoum,6.3193,16.3799,66.81,39,7,3.6,CF,1732587010
63,longyearbyen,78.2186,15.6401,12.04,79,100,19.57,SJ,1732587011
64,chul'man,56.8479,124.9104,-4.45,94,100,3.98,RU,1732587012
65,bredasdorp,-34.5322,20.0403,59.72,57,100,18.01,ZA,1732587013
66,edinburgh of the seven seas,-37.0676,-12.3116,56.1,75,100,15.99,SH,1732587015
67,ust-nera,64.5667,143.2,-22.72,99,66,4.07,RU,1732587016
68,guerrero negro,27.9769,-114.0611,63.52,79,100,7.83,MX,1732587017
69,ilulissat,69.2167,-51.1,24.82,63,100,16.11,GL,1732586904
70,qaqortoq,60.7167,-46.0333,10.76,77,0,3.38,GL,1732587019
71,ambatondrazaka,-17.8333,48.4167,68.65,84,97,3.94,MG,1732586755
72,iskateley,67.6803,53.1512,33.98,89,100,29.89,RU,1732587021
73,waitangi,-43.9535,-176.5597,61.83,89,40,4.0,NZ,1732587022
74,lihue,21.9789,-159.3672,78.75,68,0,17.27,US,1732587023
75,sao felipe,-14.8167,-41.3833,68.14,85,98,4.29,BR,1732587025
76,zhangjiakou,40.81,114.8794,20.23,38,91,18.77,CN,1732587026
77,kudat,6.8837,116.8477,77.4,93,100,11.95,MY,1732587027
78,haiku-pauwela,20.9219,-156.3051,79.16,72,20,10.0,US,1732587028
79,port augusta,-32.5,137.7667,90.43,25,100,13.2,AU,1732587029
80,barra de santo antonio,-9.4047,-35.5072,76.91,81,92,7.0,BR,1732587030
81,waddan,29.1614,16.139,53.26,74,3,5.08,LY,1732587032
82,toliara,-23.35,43.6667,78.22,74,50,2.73,MG,1732587035
83,udachny,66.4167,112.4,-6.11,97,100,7.7,RU,1732587036
84,ushuaia,-54.8,-68.3,39.85,93,98,2.82,AR,1732587035
85,port hedland,-20.3167,118.5667,91.45,55,91,13.8,AU,1732587038
86,kabinda,-6.1333,24.4833,66.76,99,100,4.38,CD,1732587039
87,tofol,5.3248,163.0078,89.38,62,75,11.5,FM,1732587040
88,chernyshevskiy,63.0128,112.4714,-3.95,97,100,10.71,RU,1732587041
89,ancud,-41.8697,-73.8203,49.64,88,7,8.75,CL,1732587027
90,margaret river,-33.95,115.0667,61.63,48,12,14.32,AU,1732587045
91,holualoa,19.6228,-155.9522,78.64,76,0,13.8,US,1732587046
92,praia da vitoria,38.7333,-27.0667,62.87,90,19,4.9,PT,1732586875
93,burao,9.5221,45.5336,68.14,76,0,6.26,SO,1732587048
94,badger,64.8,-147.5333,21.45,88,75,3.44,US,1732587049
95,bata,1.8639,9.7658,76.14,91,99,8.21,GQ,1732587050
96,santa ana de yacuma,-13.75,-65.4333,79.45,78,10,5.39,BO,1732587052
97,bardai,11.65,7.2333,61.68,30,51,8.55,NG,1732587053
98,hawaiian paradise park,19.5933,-154.9731,78.31,80,100,9.22,US,1732587055
99,pell city,33.5862,-86.2861,64.26,87,100,7.67,US,1732587056
100,mount isa,-20.7333,139.5,94.77,43,40,5.75,AU,1732587057
101,sanming,26.2486,117.6186,56.35,71,36,3.62,CN,1732587058
102,dunedin,-45.8742,170.5036,63.81,71,20,4.0,NZ,1732587059
103,ambon,-3.6954,128.1814,89.74,66,40,4.61,ID,1732587060
104,port douglas,-16.4833,145.4667,81.9,61,0,7.36,AU,1732587062
105,san patricio,28.017,-97.5169,75.15,76,3,7.78,US,1732587063
106,muynoq,43.7683,59.0214,35.71,81,0,4.18,UZ,1732587064
107,canto do buriti,-8.11,-42.9444,73.67,80,98,2.64,BR,1732586831
108,xilin hot,43.9667,116.0333,9.43,48,90,15.9,CN,1732587066
109,kununurra,-15.7667,128.7333,89.58,70,20,5.75,AU,1732587067
110,shengli,37.4564,118.4856,33.8,25,0,15.08,CN,1732587068
111,severo-yeniseyskiy,60.3725,93.0408,19.0,94,100,4.81,RU,1732587069
112,lompoc,34.6391,-120.4579,57.69,86,100,14.97,US,1732587071
113,vadso,70.0744,29.7487,32.16,74,99,12.66,NO,1732587072
114,alibag,18.6411,72.8792,70.99,50,37,7.96,IN,1732587073
115,avarua,-21.2078,-159.775,78.85,78,100,8.05,CK,1732587074
116,austin,30.2672,-97.7431,53.62,70,0,24.16,US,1732587020
117,brokopondo,4.75,-55.1667,79.18,82,80,10.0,SR,1732587076
118,mil'kovo,55.6078,37.7956,29.62,68,100,9.26,RU,1732587077
119,samoylovka,51.184,43.7081,24.69,91,54,7.47,RU,1732587078
120,taksimo,56.3444,114.8794,-8.16,81,13,1.86,RU,1732587080
121,turpan,42.9333,89.1667,31.3,40,0,2.28,CN,1732587081
122,santa ana,33.7456,-117.8678,66.04,66,75,0.0,US,1732586856
123,vorgashor,67.5833,63.95,23.79,93,100,27.58,RU,1732587083
124,bilibino,68.0546,166.4372,-29.42,98,11,3.42,RU,1732587084
125,rio verde de mato grosso,-18.9181,-54.8442,81.28,50,17,10.16,BR,1732587087
126,bontang,0.1333,117.5,82.15,74,43,5.73,ID,1732587088
127,nikolayevsk-on-amure,53.1406,140.73,21.92,68,80,1.88,RU,1732587089
128,san juan de miraflores,-12.1629,-76.9635,67.17,82,99,8.72,PE,1732587090
129,margate,51.3813,1.3862,46.69,78,100,12.26,GB,1732587091
130,flying fish cove,-10.4217,105.6791,82.11,76,49,4.36,CX,1732587092
131,karaton,-6.3424,106.1045,85.39,68,99,3.11,ID,1732587093
132,lebu,-37.6167,-73.65,53.04,86,0,1.5,CL,1732587095
133,port saint john's,-31.6229,29.5448,73.18,86,100,16.13,ZA,1732587096
134,burela de cabo,43.65,-7.4,49.42,77,100,8.75,ES,1732587097
135,chinchilla,-26.75,150.6333,85.01,48,0,1.99,AU,1732587098
136,piton saint-leu,-21.2196,55.3151,71.71,78,0,4.61,RE,1732587099
137,east london,-33.0153,27.9116,68.23,75,100,14.36,ZA,1732587014
138,altai,46.3722,96.2583,2.62,90,47,4.38,MN,1732587101
139,georgetown,5.4112,100.3354,84.13,77,20,5.75,MY,1732587062
140,olonkinbyen,70.9221,-8.7187,27.46,71,100,15.39,SJ,1732587104
141,port mathurin,-19.6833,63.4167,76.33,72,9,16.78,MU,1732587105
142,bengkulu,-3.8004,102.2655,77.09,86,100,7.16,ID,1732586900
143,usinsk,65.9939,57.5281,27.36,93,100,32.7,RU,1732587108
144,burang,30.25,81.1667,21.58,35,0,2.01,CN,1732587109
145,zindah jan,34.3426,61.7468,55.71,39,0,5.23,AF,1732587110
146,sept-iles,50.2001,-66.3821,41.05,80,100,4.61,CA,1732587111
147,aykhal,66.0,111.5,-8.14,96,100,12.12,RU,1732587113
148,codrington,-38.2667,141.9667,79.12,49,100,12.73,AU,1732587114
149,bhimunipatnam,17.8833,83.4333,76.51,73,94,9.1,IN,1732587115
150,saint-pierre,-21.3393,55.4781,74.88,78,0,4.61,RE,1732587116
151,paragominas,-2.9667,-47.4833,73.63,94,87,2.62,BR,1732587117
152,es castell,39.8795,4.2854,65.08,88,0,9.22,ES,1732587118
153,zaranj,30.9667,61.8833,63.01,27,100,4.94,AF,1732587119
154,tengrela,10.4869,-6.4097,69.82,28,3,1.43,CI,1732587120
155,buka,40.8108,69.1986,46.9,32,100,2.98,UZ,1732587121
156,tegueste,28.5167,-16.3167,68.09,92,100,5.75,ES,1732587123
157,tselinnoye,53.0833,85.6667,8.58,95,49,3.36,RU,1732587124
158,kapuskasing,49.4169,-82.4331,30.29,100,100,4.61,CA,1732587125
159,lazaro cardenas,17.9583,-102.2,78.01,77,0,3.56,MX,1732587092
160,mount gambier,-37.8333,140.7667,76.69,69,100,3.71,AU,1732587127
161,sirte,31.2089,16.5887,64.27,58,77,4.12,LY,1732587128
162,sitia,35.2,26.0986,54.46,63,30,21.97,GR,1732587129
163,haapavesi,64.1333,25.3667,41.52,96,100,8.01,FI,1732587132
164,mammoth lakes,37.6485,-118.9721,33.8,92,100,4.0,US,1732587133
165,burutu,5.3509,5.5076,79.11,79,46,5.14,NG,1732587134
166,lesina,41.8594,15.3527,51.26,58,0,8.66,IT,1732587135
167,concepcion del oro,24.6333,-101.4167,58.84,25,0,4.61,MX,1732587136
168,thinadhoo,0.5333,72.9333,82.58,76,100,13.91,MV,1732587137
169,kismayo,-0.3582,42.5454,80.38,80,2,7.47,SO,1732587138
170,miquelon,47.0975,-56.3814,42.37,94,90,24.79,PM,1732587140
171,homer,59.6425,-151.5483,37.29,78,20,4.61,US,1732587141
172,mugia,43.1041,-9.2179,54.91,74,100,16.04,ES,1732587142
173,elverum,60.8819,11.5623,39.09,90,81,10.29,NO,1732587143
174,kapa'a,22.0752,-159.319,79.12,71,0,17.27,US,1732587144
175,jaru,-10.4389,-62.4664,73.09,96,0,1.7,BR,1732587145
176,vetluzhskiy,58.3902,45.4654,29.39,69,98,8.86,RU,1732587146
177,mirny,62.5353,113.9611,-2.6,96,100,11.92,RU,1732587148
178,callao,-12.0667,-77.15,68.72,77,40,14.97,PE,1732587149
179,lata,40.1629,-8.3327,48.02,84,100,2.57,PT,1732587150
180,colonia,50.9333,6.95,49.96,82,20,4.61,DE,1732587151
181,qarauyl,48.9451,79.255,11.44,91,36,3.94,KZ,1732587152
182,mermoz boabab,14.7065,-17.4758,76.78,94,0,9.22,SN,1732587153
183,chagoda,59.164,35.3285,34.02,88,100,11.61,RU,1732587154
184,harper,4.375,-7.7169,77.67,84,9,3.65,LR,1732587155
185,puerto ayora,-0.7393,-90.3518,72.55,84,41,5.01,EC,1732587157
186,quelimane,-17.8786,36.8883,78.75,94,75,2.3,MZ,1732587158
187,curillo,1.0333,-75.9191,76.51,84,66,1.28,CO,1732587159
188,tayu,-6.5397,111.0518,85.44,70,100,2.1,ID,1732587160
189,naze,28.3667,129.4833,70.86,80,90,17.9,JP,1732587161
190,hanawa,40.1836,140.7872,49.6,56,53,5.03,JP,1732587162
191,nookat,40.2671,72.6207,42.48,35,100,3.74,KG,1732587163
192,banda aceh,5.5577,95.3222,78.84,86,100,4.52,ID,1732587164
193,vilyuchinsk,52.9306,158.4028,37.67,86,100,9.48,RU,1732587135
194,kone,-21.0595,164.8658,86.36,60,100,4.76,NC,1732587167
195,remire-montjoly,4.9167,-52.2667,82.44,83,100,4.61,GF,1732587008
196,igarka,67.4667,86.5833,17.33,92,100,12.03,RU,1732587169
197,varadero,23.1536,-81.2514,74.16,77,90,18.95,CU,1732587170
198,soledade,-28.8183,-52.5103,69.93,71,100,4.79,BR,1732586985
199,sosnovka,56.255,51.2842,28.8,75,1,1.3,RU,1732587172
200,pemangkat,1.1667,108.9667,81.68,76,97,4.79,ID,1732587174
201,san ignacio,17.1561,-89.0714,73.54,94,0,4.61,BZ,1732587175
202,whitehorse,60.7161,-135.0538,9.37,85,100,0.0,CA,1732587176
203,papao,-17.75,-149.55,85.68,75,99,16.24,PF,1732587177
204,yuzhno-kurilsk,44.0306,145.8556,38.77,58,6,12.12,RU,1732587179
205,leh,34.1667,77.5833,15.73,59,0,4.94,IN,1732587180
206,chibougamau,49.9168,-74.3659,28.02,100,100,2.3,CA,1732587181
207,weno,7.4515,151.8468,85.95,84,75,8.05,FM,1732587182
208,pacasmayo,-7.4006,-79.5714,66.49,84,99,9.89,PE,1732587183
209,derzhavinsk,51.1,66.3167,17.56,85,5,10.22,KZ,1732587184
210,fukuecho,32.6881,128.8419,60.89,83,100,25.86,JP,1732587185
211,nelson bay,-32.7167,152.15,80.01,66,0,13.0,AU,1732587186
212,thompson,55.7435,-97.8558,10.56,85,100,12.66,CA,1732587188
213,okhotsk,59.3833,143.3,6.96,66,0,10.04,RU,1732587189
214,fort bragg,35.139,-79.006,57.79,79,4,8.01,US,1732587190
215,tokar,18.4254,37.729,79.38,79,85,11.77,SD,1732587191
216,manta,-0.95,-80.7333,74.98,78,75,13.49,EC,1732586921
217,zaozersk,69.4005,32.4476,25.72,86,99,6.53,RU,1732587193
218,tukrah,32.5341,20.5791,59.34,61,0,8.16,LY,1732587195
219,grand falls-windsor,48.9332,-55.6649,41.5,94,100,7.0,CA,1732587196
220,kerikeri,-35.2268,173.9474,72.18,48,20,6.93,NZ,1732587197
221,sana,15.3547,44.2067,55.15,33,2,2.37,YE,1732587198
222,fort st. john,56.2499,-120.8529,-5.91,84,20,9.22,CA,1732587199
223,nilgiri,21.4581,86.7669,65.32,54,36,4.09,IN,1732586952
224,peniche,39.3558,-9.3811,55.45,93,100,3.98,PT,1732587201
225,chegdomyn,51.1167,133.0167,22.69,81,100,2.86,RU,1732587202
226,sola,-13.8833,167.55,82.38,78,98,8.9,VU,1732587204
227,caleta de carquin,-11.0925,-77.6267,66.78,84,100,9.15,PE,1732587205
228,quellon,-43.1167,-73.6167,47.89,91,33,6.51,CL,1732587206
229,aweil,8.7682,27.4002,71.19,29,6,5.1,SS,1732587207
230,keflavik,64.0049,-22.5624,34.23,75,100,8.05,IS,1732587208
231,susuman,62.7833,148.1667,-27.22,95,10,1.05,RU,1732587209
232,iturama,-19.7281,-50.1956,79.3,52,100,7.74,BR,1732587210
233,port alfred,-33.5906,26.891,66.18,88,100,4.0,ZA,1732587212
234,nyurba,63.2842,118.3319,-4.43,87,100,10.02,RU,1732587213
235,bilsanda,28.25,79.95,59.81,57,0,2.89,IN,1732587214
236,amarante do maranhao,-5.5667,-46.7422,74.46,87,49,3.53,BR,1732587215
237,zaigrayevo,51.8336,108.2703,2.35,92,38,1.61,RU,1732587216
238,palikir - national government center,6.9248,158.1611,81.45,83,100,3.44,FM,1732587217
239,bel ombre,-4.6167,55.4167,78.64,83,20,5.75,SC,1732587218
240,ankazoabo,-22.2833,44.5167,77.23,56,5,5.99,MG,1732587219
241,dom pedrito,-30.9828,-54.6731,69.39,96,44,3.24,BR,1732587220
242,el nido,11.1858,119.3956,88.14,67,93,16.67,PH,1732587222
243,chonchi,-42.6128,-73.8092,49.12,96,62,3.29,CL,1732587223
244,cabo san lucas,22.8909,-109.9124,75.76,43,40,5.75,MX,1732587002
245,meadow lakes,61.6247,-149.6011,32.52,95,100,3.44,US,1732587225
246,hilo,19.7297,-155.09,78.53,79,100,9.22,US,1732587226
247,santiago de cao,-7.9589,-79.2392,62.73,94,98,9.22,PE,1732587227
248,ulaangom,49.9811,92.0667,11.37,74,31,4.43,MN,1732587229
249,wailua homesteads,22.0669,-159.378,77.79,72,0,17.27,US,1732587230
250,daru,-9.0763,143.2092,82.85,83,45,13.09,PG,1732587231
251,jamsa,61.8642,25.19,45.32,94,100,13.4,FI,1732587232
252,podporozh'ye,60.9112,34.1706,37.24,87,98,14.2,RU,1732587233
253,cermik,38.1361,39.4493,38.39,84,100,4.09,TR,1732587236
254,maricopa,33.0581,-112.0476,66.6,35,0,4.61,US,1732587151
255,sisimiut,66.9395,-53.6735,26.15,94,100,15.08,GL,1732587238
256,pitimbu,-7.4706,-34.8086,78.33,73,100,8.19,BR,1732587239
257,sodra sandby,56.5667,16.6167,49.86,92,95,11.23,SE,1732587240
258,queenstown,-31.8976,26.8753,64.26,79,98,1.07,ZA,1732587241
259,daye,30.0833,114.95,51.24,26,54,5.01,CN,1732587242
260,ebaye,8.7748,167.7392,82.42,83,40,17.27,MH,1732587243
261,bonthe,7.5264,-12.505,78.96,80,21,5.21,SL,1732587245
262,camarinas,43.1311,-9.1817,54.93,75,100,15.32,ES,1732587246
263,tazacorte,28.629,-17.9293,67.17,80,0,5.75,ES,1732587247
264,roshchino,60.2519,29.6085,42.55,81,100,14.52,RU,1732587248
265,lubao,14.9167,120.55,87.51,67,53,10.51,PH,1732587249
266,atar,20.5169,-13.0499,76.95,13,3,8.95,MR,1732587250
267,puerto baquerizo moreno,-0.9,-89.6,71.13,71,80,10.74,EC,1732587251
268,outjo,-20.1167,16.15,69.98,39,22,7.05,NA,1732587252
269,zeya,53.75,127.2667,19.02,90,100,6.33,RU,1732587254
270,solnechnyy,50.7214,136.6319,23.92,72,100,1.57,RU,1732587255
271,afaahiti,-17.75,-149.2833,78.04,82,87,15.61,PF,1732587256
272,kavaratti,10.5669,72.642,81.97,67,100,9.86,IN,1732587257
273,nicoya,10.1483,-85.452,74.14,92,73,2.62,CR,1732587258
274,rio grande,-32.035,-52.0986,69.53,92,80,6.6,BR,1732587259
275,knyaze-volkonskoye,48.4642,135.4567,21.54,57,100,9.57,RU,1732587260
276,talnakh,69.4865,88.3972,23.68,95,100,12.33,RU,1732587261
277,sandnessjoen,66.0217,12.6316,39.58,92,100,20.27,NO,1732587263
278,puerto san jose,13.9256,-90.8244,77.7,84,6,9.48,GT,1732587264
279,nogliki,51.8333,143.1667,23.5,73,21,4.99,RU,1732587265
280,kertih,4.5141,103.4483,84.22,79,40,5.01,MY,1732587266
281,ascension,30.2169,-90.9001,73.08,80,100,3.44,US,1732587267
282,wynyard,-41.0,145.7167,70.2,83,66,5.99,AU,1732587269
283,aleksandrov gay,50.147,48.5704,30.7,67,100,8.3,RU,1732587270
284,horta,38.5333,-28.6333,67.01,93,35,15.99,PT,1732587252
285,zouerate,22.7187,-12.4521,73.63,16,66,10.25,MR,1732587272
